Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,086077,2021,04,12,6.4,1,N
IDCJAC0009,086077,2021,04,13,0.2,1,N
IDCJAC0009,086077,2021,04,14,0.0,1,N
IDCJAC0009,086077,2021,04,15,0.0,1,N
IDCJAC0009,086077,2021,04,16,2.4,1,N
IDCJAC0009,086077,2021,04,17,0.0,1,N
IDCJAC0009,086077,2021,04,18,0.0,1,N
IDCJAC0009,086077,2021,04,19,0.0,1,N
IDCJAC0009,086077,2021,04,20,0.0,1,N
IDCJAC0009,086077,2021,04,21,7.6,1,N
IDCJAC0009,086077,2021,04,22,0.0,1,N
IDCJAC0009,086077,2021,04,23,0.4,1,N
IDCJAC0009,086077,2021,04,24,0.0,1,N
IDCJAC0009,086077,2021,04,25,2.6,1,N
IDCJAC0009,086077,2021,04,26,0.2,1,N
IDCJAC0009,086077,2021,04,27,0.8,1,N
IDCJAC0009,086077,2021,04,28,0.4,1,N
IDCJAC0009,086077,2021,04,29,0.0,1,N
IDCJAC0009,086077,2021,04,30,0.0,1,N
IDCJAC0009,086077,2021,05,01,0.0,1,N
IDCJAC0009,086077,2021,05,02,0.0,1,N
IDCJAC0009,086077,2021,05,03,1.0,1,N
IDCJAC0009,086077,2021,05,04,16.0,1,N
IDCJAC0009,086077,2021,05,05,0.0,1,N
IDCJAC0009,086077,2021,05,06,0.0,1,N
IDCJAC0009,086077,2021,05,07,0.2,1,N
IDCJAC0009,086077,2021,05,08,0.0,1,N
IDCJAC0009,086077,2021,05,09,0.6,1,N
IDCJAC0009,086077,2021,05,10,0.2,1,N
IDCJAC0009,086077,2021,05,11,10.6,1,N
IDCJAC0009,086077,2021,05,12,0.0,1,N
IDCJAC0009,086077,2021,05,13,0.2,1,N
IDCJAC0009,086077,2021,05,14,3.6,1,N
IDCJAC0009,086077,2021,05,15,4.8,1,N
IDCJAC0009,086077,2021,05,16,0.0,1,N
IDCJAC0009,086077,2021,05,17,4.4,1,N
IDCJAC0009,086077,2021,05,18,0.2,1,N
IDCJAC0009,086077,2021,05,19,0.0,1,N
IDCJAC0009,086077,2021,05,20,0.0,1,N
IDCJAC0009,086077,2021,05,21,0.4,1,N
IDCJAC0009,086077,2021,05,22,0.2,1,N
IDCJAC0009,086077,2021,05,23,0.0,1,N
IDCJAC0009,086077,2021,05,24,0.0,1,N
IDCJAC0009,086077,2021,05,25,0.0,1,N
IDCJAC0009,086077,2021,05,26,6.2,1,N
IDCJAC0009,086077,2021,05,27,0.0,1,N
IDCJAC0009,086077,2021,05,28,4.2,1,N
IDCJAC0009,086077,2021,05,29,0.0,1,N
IDCJAC0009,086077,2021,05,30,0.0,1,N
IDCJAC0009,086077,2021,05,31,0.0,1,N
IDCJAC0009,086077,2021,06,01,0.2,1,N
IDCJAC0009,086077,2021,06,02,0.0,1,N
IDCJAC0009,086077,2021,06,03,0.0,1,N
IDCJAC0009,086077,2021,06,04,0.8,1,N
IDCJAC0009,086077,2021,06,05,1.6,1,N
